t,type,op,id,kind,source,target,layer,weight,label
0,NODE,add,fn:add,function,,,,3,+
1,NODE,add,param:add:lhs,parameter,,,,1,lhs
2,NODE,add,param:add:rhs,parameter,,,,1,rhs
3,NODE,add,param:add:result,parameter,,,,1,result
4,EDGE,add,e:param:lhs->fn,,param:add:lhs,fn:add,of,1,
5,EDGE,add,e:param:rhs->fn,,param:add:rhs,fn:add,of,1,
6,EDGE,add,e:param:result->fn,,param:add:result,fn:add,of,1,
7,EDGE,add,e:param:lhs->param:rhs,,param:add:lhs,param:add:rhs,next-y,1,
8,EDGE,add,e:param:rhs->param:result,,param:add:rhs,param:add:result,next-y,1,
9,NODE,add,hedge:sig:add,structural-hyperedge,,,,1,add.sig
10,EDGE,add,m:fn:add->hedge:sig:add,,fn:add,hedge:sig:add,memberOf,5,
11,EDGE,add,m:param:add:lhs->hedge:sig:add,,param:add:lhs,hedge:sig:add,memberOf,5,
12,EDGE,add,m:param:add:rhs->hedge:sig:add,,param:add:rhs,hedge:sig:add,memberOf,5,
13,EDGE,add,m:param:add:result->hedge:sig:add,,param:add:result,hedge:sig:add,memberOf,5,
14,NODE,add,var:A,variable,,,,1,A
15,NODE,add,var:B,variable,,,,1,B
16,NODE,add,var:C,variable,,,,1,C
21,EDGE,add,e:var:A->param:lhs,,var:A,param:add:lhs,arg,1,A
22,EDGE,add,e:var:B->param:rhs,,var:B,param:add:rhs,arg,1,B
23,EDGE,add,e:var:C->param:result,,var:C,param:add:result,arg,1,C
27,EDGE,add,e:call->fn,,call:add:1,fn:add,calls,1,
28,EDGE,add,e:call->rt:A,,call:add:1,rt:A,uses,1,
29,EDGE,add,e:call->rt:B,,call:add:1,rt:B,uses,1,
30,EDGE,add,e:call->rt:C,,call:add:1,rt:C,writesTo,1,
31,NODE,add,hedge:arg:A,hyperedge,,,,1,arg A
32,EDGE,add,m:var:A->hedge:arg:A,,var:A,hedge:arg:A,memberOf,3,
33,EDGE,add,m:param:add:lhs->hedge:arg:A,,param:add:lhs,hedge:arg:A,memberOf,3,
34,EDGE,add,m:rt:A->hedge:arg:A,,rt:A,hedge:arg:A,memberOf,3,
35,NODE,add,hedge:arg:B,hyperedge,,,,1,arg B
36,EDGE,add,m:var:B->hedge:arg:B,,var:B,hedge:arg:B,memberOf,3,
37,EDGE,add,m:param:add:rhs->hedge:arg:B,,param:add:rhs,hedge:arg:B,memberOf,3,
38,EDGE,add,m:rt:B->hedge:arg:B,,rt:B,hedge:arg:B,memberOf,3,
39,NODE,add,hedge:arg:C,hyperedge,,,,1,arg C
40,EDGE,add,m:var:C->hedge:arg:C,,var:C,hedge:arg:C,memberOf,3,
41,EDGE,add,m:param:add:result->hedge:arg:C,,param:add:result,hedge:arg:C,memberOf,3,
42,EDGE,add,m:rt:C->hedge:arg:C,,rt:C,hedge:arg:C,memberOf,3,
49,NODE,add,rt:A,runtime,,,,1,3
50,NODE,add,rt:B,runtime,,,,1,4
51,NODE,add,rt:C,runtime,,,,1,7
43,NODE,add,hedge:call:add:1,hyperedge,,,,1,call#1
44,EDGE,add,m:call:add:1->hedge:call:add:1,,call:add:1,hedge:call:add:1,memberOf,3,
45,EDGE,add,m:fn:add->hedge:call:add:1,,fn:add,hedge:call:add:1,memberOf,3,
46,EDGE,add,m:rt:A->hedge:call:add:1,,rt:A,hedge:call:add:1,memberOf,3,
47,EDGE,add,m:rt:B->hedge:call:add:1,,rt:B,hedge:call:add:1,memberOf,3,
48,EDGE,add,m:rt:C->hedge:call:add:1,,rt:C,hedge:call:add:1,memberOf,3,
52,NODE,add,call:add:1,call,,,,2,"add(3,4)=7"
53,EDGE,add,e:param:lhs->rt:A,,param:add:lhs,rt:A,runtime,1,
54,EDGE,add,e:param:rhs->rt:B,,param:add:rhs,rt:B,runtime,1,
0,NODE,add,mouse-clicked,sentinel,,,,0.1,mouse-clicked
76,EDGE,add,click:76:hedge:sig:add,,mouse-clicked,hedge:sig:add,event:click,0,
87,EDGE,add,click:87:param:add:rhs,,mouse-clicked,param:add:rhs,event:click,0,
98,EDGE,add,click:98:param:add:rhs,,mouse-clicked,param:add:rhs,event:click,0,
99,EDGE,add,click:99:param:add:result,,mouse-clicked,param:add:result,event:click,0,
110,EDGE,add,click:110:param:add:result,,mouse-clicked,param:add:result,event:click,0,
111,EDGE,add,click:111:hedge:sig:add,,mouse-clicked,hedge:sig:add,event:click,0,
