isUserInteracting,function,Unclustered,3,331
schedulePendingRebuild,function,Unclustered,3,338
springDisplace,function,Unclustered,3,352
softCollide,function,Unclustered,3,362
springLoop,function,Unclustered,3,376
_buildCollisionGrid,function,Unclustered,3,403
_nearbyNodes,function,Unclustered,3,418
createUserCluster,function,User Clusters,7,447
deleteUserCluster,function,User Clusters,5,482
loadSpatialMemory,function,Spatial Memory,7,519
saveSpatialMemory,function,Spatial Memory,5,549
pushArrangement,function,Spatial Memory,7,557
generateArrangementLabel,function,Spatial Memory,3,590
navigateArrangement,function,Arrangement Navigation,6,598
enterComparisonMode,function,Arrangement Navigation,5,631
exitComparisonMode,function,Arrangement Navigation,4,641
computeComparisonPositions,function,Arrangement Navigation,5,648
trackClickCoOccurrence,function,Spatial Memory,5,673
trackDragProximity,function,Spatial Memory,5,692
updateArrNav,function,Arrangement Navigation,4,711
navigateToArrangement,function,Arrangement Navigation,5,723
hashStr,function,Codemap Parsing,3,741
parseCodemap,function,Codemap Parsing,8,750
extractJS,function,AST Analysis,8,792
analyzeCode,function,AST Analysis,9,803
collectDeclNames,function,AST Analysis,5,848
analyzeFunction,function,AST Analysis,8,859
tokenizeName,function,Clustering & Affinities,4,973
clusterFunctions,function,Clustering & Affinities,8,981
nameClusters,function,Clustering & Affinities,6,1051
computeAffinities,function,Clustering & Affinities,9,1095
getEnabledEdgeLayers,function,Unclustered,3,1288
initPullLayerUI,function,Unclustered,3,1297
getPullAdjacency,function,Unclustered,3,1409
edgeOpacity,function,Unclustered,3,1421
updateEdgeOpacities,function,Unclustered,3,1448
buildGraph,function,Graph Building,10,1462
computeLayout,function,Layout Engine,10,1640
layoutClusterInternal,function,Layout Engine,8,1711
packClusters,function,Layout Engine,8,1817
warmRestart,function,Layout Engine,6,1903
animateToPositions,function,Animation,7,2339
initSVG,function,SVG Rendering,8,2378
expandHull,function,SVG Rendering,4,2409
applySemanticZoom,function,SVG Rendering,8,2420
edgeMidOpacity,function,Unclustered,3,2521
setupNodeCircle,function,Unclustered,3,2613
renderIncremental,function,Unclustered,3,2723
renderGraph,function,SVG Rendering,10,2804
hullPerimeter,function,SVG Rendering,3,3058
buildRepeatedLabel,function,SVG Rendering,3,3067
renderHulls,function,SVG Rendering,6,3076
renderUserClusters,function,SVG Rendering,5,3140
renderUserClusterLegend,function,SVG Rendering,4,3210
clusterLabelDrag,function,Cluster Labels & Meta-edges,5,3247
applyMetaLinkFocus,function,Cluster Labels & Meta-edges,4,3325
getClusterImportance,function,Unclustered,3,3345
restoreClusterImportance,function,Unclustered,3,3349
