t,type,op,id,kind,source,target,layer,weight,label
0,NODE,add,file:README.md,markdown-file,,,,,README.md
1,NODE,add,file:README.md:pos:x,slot,,,,0,0
2,NODE,add,file:README.md:pos:y,slot,,,,0,0
3,EDGE,add,file:README.md:pos:x,,file:README.md,file:README.md:pos:x,x,1,
4,EDGE,add,file:README.md:pos:y,,file:README.md,file:README.md:pos:y,y,1,
5,NODE,add,file:README.md#h1:depgraph,heading,,,,,depgraph
6,NODE,add,file:README.md#h1:depgraph:pos:x,slot,,,,120,120
7,NODE,add,file:README.md#h1:depgraph:pos:y,slot,,,,28,28
8,EDGE,add,file:README.md#h1:depgraph:pos:x,,file:README.md#h1:depgraph,file:README.md#h1:depgraph:pos:x,x,1,
9,EDGE,add,file:README.md#h1:depgraph:pos:y,,file:README.md#h1:depgraph,file:README.md#h1:depgraph:pos:y,y,1,
10,EDGE,add,file:README.md#h1:depgraph->memberOf->file:README.md,,file:README.md#h1:depgraph,file:README.md,memberOf,4,
11,NODE,add,file:README.md#h1:depgraph->memberOf->file:README.md:rest-x,slot,,,,120,120
12,EDGE,add,file:README.md#h1:depgraph->memberOf->file:README.md:rest-x,,file:README.md#h1:depgraph->memberOf->file:README.md,file:README.md#h1:depgraph->memberOf->file:README.md:rest-x,rest-x,1,
13,NODE,add,file:README.md#h3:videos,heading,,,,,Videos
14,NODE,add,file:README.md#h3:videos:pos:x,slot,,,,360,360
15,NODE,add,file:README.md#h3:videos:pos:y,slot,,,,56,56
16,EDGE,add,file:README.md#h3:videos:pos:x,,file:README.md#h3:videos,file:README.md#h3:videos:pos:x,x,1,
17,EDGE,add,file:README.md#h3:videos:pos:y,,file:README.md#h3:videos,file:README.md#h3:videos:pos:y,y,1,
18,EDGE,add,file:README.md#h3:videos->memberOf->file:README.md#h1:depgraph,,file:README.md#h3:videos,file:README.md#h1:depgraph,memberOf,4,
19,NODE,add,file:README.md#h3:videos->memberOf->file:README.md#h1:depgraph:rest-x,slot,,,,120,120
20,EDGE,add,file:README.md#h3:videos->memberOf->file:README.md#h1:depgraph:rest-x,,file:README.md#h3:videos->memberOf->file:README.md#h1:depgraph,file:README.md#h3:videos->memberOf->file:README.md#h1:depgraph:rest-x,rest-x,1,
21,NODE,add,file:README.md#h3:videos/p:1,paragraph,,,,,clustering | eye candy | high RNG
22,NODE,add,file:README.md#h3:videos/p:1:pos:x,slot,,,,120,120
