t,type,op,id,kind,source,target,layer,weight,label
0,NODE,add,"img:0,0:meta",image-header,,,,1,"32,32"
1,EDGE,add,"img:0,0:root",,"img:0,0:meta","px:0,0:0,0",image-root,1,
2,NODE,add,"px:0,0:0,0",pixel,,,,0.05359477124183006,"12,12,17"
3,NODE,add,"px:0,0:1,0",pixel,,,,0.05359477124183006,"12,12,17"
4,EDGE,add,"nx:0,0:0,0",,"px:0,0:0,0","px:0,0:1,0",next-x,1,
5,NODE,add,"px:0,0:2,0",pixel,,,,0.05359477124183006,"12,12,17"
6,EDGE,add,"nx:0,0:1,0",,"px:0,0:1,0","px:0,0:2,0",next-x,1,
7,NODE,add,"px:0,0:3,0",pixel,,,,0.05359477124183006,"12,12,17"
8,EDGE,add,"nx:0,0:2,0",,"px:0,0:2,0","px:0,0:3,0",next-x,1,
9,NODE,add,"px:0,0:4,0",pixel,,,,0.05359477124183006,"12,12,17"
10,EDGE,add,"nx:0,0:3,0",,"px:0,0:3,0","px:0,0:4,0",next-x,1,
11,NODE,add,"px:0,0:5,0",pixel,,,,0.05359477124183006,"12,12,17"
12,EDGE,add,"nx:0,0:4,0",,"px:0,0:4,0","px:0,0:5,0",next-x,1,
13,NODE,add,"px:0,0:6,0",pixel,,,,0.05359477124183006,"12,12,17"
14,EDGE,add,"nx:0,0:5,0",,"px:0,0:5,0","px:0,0:6,0",next-x,1,
15,NODE,add,"px:0,0:7,0",pixel,,,,0.05359477124183006,"12,12,17"
16,EDGE,add,"nx:0,0:6,0",,"px:0,0:6,0","px:0,0:7,0",next-x,1,
17,NODE,add,"px:0,0:8,0",pixel,,,,0.05359477124183006,"12,12,17"
18,EDGE,add,"nx:0,0:7,0",,"px:0,0:7,0","px:0,0:8,0",next-x,1,
19,NODE,add,"px:0,0:9,0",pixel,,,,0.05359477124183006,"12,12,17"
20,EDGE,add,"nx:0,0:8,0",,"px:0,0:8,0","px:0,0:9,0",next-x,1,
21,NODE,add,"px:0,0:10,0",pixel,,,,0.05359477124183006,"12,12,17"
22,EDGE,add,"nx:0,0:9,0",,"px:0,0:9,0","px:0,0:10,0",next-x,1,
23,NODE,add,"px:0,0:11,0",pixel,,,,0.05359477124183006,"12,12,17"
24,EDGE,add,"nx:0,0:10,0",,"px:0,0:10,0","px:0,0:11,0",next-x,1,
25,NODE,add,"px:0,0:12,0",pixel,,,,0.05359477124183006,"12,12,17"
26,EDGE,add,"nx:0,0:11,0",,"px:0,0:11,0","px:0,0:12,0",next-x,1,
27,NODE,add,"px:0,0:13,0",pixel,,,,0.05359477124183006,"12,12,17"
28,EDGE,add,"nx:0,0:12,0",,"px:0,0:12,0","px:0,0:13,0",next-x,1,
29,NODE,add,"px:0,0:14,0",pixel,,,,0.05359477124183006,"12,12,17"
30,EDGE,add,"nx:0,0:13,0",,"px:0,0:13,0","px:0,0:14,0",next-x,1,
31,NODE,add,"px:0,0:15,0",pixel,,,,0.05359477124183006,"12,12,17"
32,EDGE,add,"nx:0,0:14,0",,"px:0,0:14,0","px:0,0:15,0",next-x,1,
33,NODE,add,"px:0,0:16,0",pixel,,,,0.05359477124183006,"12,12,17"
34,EDGE,add,"nx:0,0:15,0",,"px:0,0:15,0","px:0,0:16,0",next-x,1,
35,NODE,add,"px:0,0:17,0",pixel,,,,0.05359477124183006,"12,12,17"
36,EDGE,add,"nx:0,0:16,0",,"px:0,0:16,0","px:0,0:17,0",next-x,1,
37,NODE,add,"px:0,0:18,0",pixel,,,,0.05359477124183006,"12,12,17"
38,EDGE,add,"nx:0,0:17,0",,"px:0,0:17,0","px:0,0:18,0",next-x,1,
39,NODE,add,"px:0,0:19,0",pixel,,,,0.05359477124183006,"12,12,17"
40,EDGE,add,"nx:0,0:18,0",,"px:0,0:18,0","px:0,0:19,0",next-x,1,
41,NODE,add,"px:0,0:20,0",pixel,,,,0.05359477124183006,"12,12,17"
42,EDGE,add,"nx:0,0:19,0",,"px:0,0:19,0","px:0,0:20,0",next-x,1,
43,NODE,add,"px:0,0:21,0",pixel,,,,0.05359477124183006,"12,12,17"
44,EDGE,add,"nx:0,0:20,0",,"px:0,0:20,0","px:0,0:21,0",next-x,1,
45,NODE,add,"px:0,0:22,0",pixel,,,,0.05359477124183006,"12,12,17"
46,EDGE,add,"nx:0,0:21,0",,"px:0,0:21,0","px:0,0:22,0",next-x,1,
47,NODE,add,"px:0,0:23,0",pixel,,,,0.05359477124183006,"12,12,17"
48,EDGE,add,"nx:0,0:22,0",,"px:0,0:22,0","px:0,0:23,0",next-x,1,
49,NODE,add,"px:0,0:24,0",pixel,,,,0.05359477124183006,"12,12,17"
50,EDGE,add,"nx:0,0:23,0",,"px:0,0:23,0","px:0,0:24,0",next-x,1,
51,NODE,add,"px:0,0:25,0",pixel,,,,0.05359477124183006,"12,12,17"
52,EDGE,add,"nx:0,0:24,0",,"px:0,0:24,0","px:0,0:25,0",next-x,1,
53,NODE,add,"px:0,0:26,0",pixel,,,,0.05359477124183006,"12,12,17"
54,EDGE,add,"nx:0,0:25,0",,"px:0,0:25,0","px:0,0:26,0",next-x,1,
55,NODE,add,"px:0,0:27,0",pixel,,,,0.05359477124183006,"12,12,17"
56,EDGE,add,"nx:0,0:26,0",,"px:0,0:26,0","px:0,0:27,0",next-x,1,
